ID,TR,UT,data,raingauges_id,update_ref,invalid,hours_surrounding_total
201,17/12/04 10:55,1512324000,1,29,1512324000-29,0,10
202,17/12/04 10:55,1512324300,0.8,29,1512324300-29,0,10
203,17/12/04 10:55,1512324600,2.2,29,1512324600-29,0,10
204,17/12/04 10:55,1512324900,4.8,29,1512324900-29,0,10
205,17/12/04 10:55,1512325200,1,29,1512325200-29,0,10
206,17/12/04 10:55,1512328200,0.2,29,1512328200-29,0,0.2
207,17/12/04 10:55,1512338400,0,29,1512338400-29,0,0
208,17/12/04 10:55,1512252000,0,30,1512252000-30,0,0
209,17/12/04 10:55,1512325500,0.4,30,1512325500-30,0,0.6
210,17/12/04 10:55,1512325800,0.2,30,1512325800-30,0,0.6
211,17/12/04 10:55,1512338400,0,30,1512338400-30,0,0
212,17/12/04 10:55,1512183300,0.2,31,1512183300-31,0,0.2
213,17/12/04 10:55,1512198300,0.2,31,1512198300-31,0,0.2
214,17/12/04 10:55,1512213600,0.2,31,1512213600-31,0,0.2
215,17/12/04 10:55,1512233100,0.2,31,1512233100-31,0,0.2
216,17/12/04 10:55,1512252000,0,31,1512252000-31,0,0
217,17/12/04 10:55,1512328500,0.2,31,1512328500-31,0,0.2
218,17/12/04 10:55,1512336900,0.2,31,1512336900-31,0,0.2
219,17/12/04 10:55,1512338400,0,31,1512338400-31,0,0.2
220,17/12/04 10:55,1512351900,0.2,31,1512351900-31,0,0.2
221,17/12/04 10:55,1512362100,0.2,31,1512362100-31,0,0.2
222,17/12/04 10:55,1512226500,0.6,32,1512226500-32,0,2
223,17/12/04 10:55,1512226800,1,32,1512226800-32,0,2
224,17/12/04 10:55,1512227100,0.2,32,1512227100-32,0,2
225,17/12/04 10:55,1512227400,0.2,32,1512227400-32,0,2
226,17/12/04 10:55,1512252000,0,32,1512252000-32,0,0
227,17/12/04 10:55,1512324900,0.2,32,1512324900-32,0,0.6
228,17/12/04 10:55,1512325800,0.2,32,1512325800-32,0,0.6
229,17/12/04 10:55,1512326100,0.2,32,1512326100-32,0,0.6
230,17/12/04 10:55,1512338400,0,32,1512338400-32,0,0
231,17/12/04 10:55,1512219000,1.2,33,1512219000-33,0,3
232,17/12/04 10:55,1512219300,1,33,1512219300-33,0,3
233,17/12/04 10:55,1512219600,0.6,33,1512219600-33,0,3
234,17/12/04 10:55,1512219900,0.2,33,1512219900-33,0,3
235,17/12/04 10:55,1512252000,0,33,1512252000-33,0,0
236,17/12/04 10:55,1512318000,0.2,33,1512318000-33,0,0.2
237,17/12/04 10:55,1512338400,0,33,1512338400-33,0,0
238,17/12/04 10:55,1512227700,0.6,34,1512227700-34,0,1.8
239,17/12/04 10:55,1512228000,0.4,34,1512228000-34,0,1.8
240,17/12/04 10:55,1512228300,0.2,34,1512228300-34,0,1.8
241,17/12/04 10:55,1512228600,0.4,34,1512228600-34,0,1.8
242,17/12/04 10:55,1512229200,0.2,34,1512229200-34,0,1.8
243,17/12/04 10:55,1512231300,0.2,34,1512231300-34,0,0.2
244,17/12/04 10:55,1512252000,0,34,1512252000-34,0,0
245,17/12/04 10:55,1512325500,0.2,34,1512325500-34,0,0.4
246,17/12/04 10:55,1512326400,0.2,34,1512326400-34,0,0.4
247,17/12/04 10:55,1512338400,0,34,1512338400-34,0,0
248,17/12/04 10:55,1512200400,0.2,35,1512200400-35,0,0.2
249,17/12/04 10:55,1512252000,0,35,1512252000-35,0,0
250,17/12/04 10:55,1512324600,0.2,35,1512324600-35,0,0.2
251,17/12/04 10:55,1512338400,0,35,1512338400-35,0,0
252,17/12/04 10:55,1512252000,0,36,1512252000-36,0,0
253,17/12/04 10:55,1512317400,0.2,36,1512317400-36,0,0.8
254,17/12/04 10:55,1512317700,0.2,36,1512317700-36,0,0.8
255,17/12/04 10:55,1512318000,0.2,36,1512318000-36,0,0.8
256,17/12/04 10:55,1512318900,0.2,36,1512318900-36,0,0.8
257,17/12/04 10:55,1512322800,0.2,36,1512322800-36,0,0.2
258,17/12/04 10:55,1512338400,0,36,1512338400-36,0,0
259,17/12/04 10:55,1512174900,0.2,37,1512174900-37,0,0.2
260,17/12/04 10:55,1512252000,0,37,1512252000-37,0,0
261,17/12/04 10:55,1512326400,0.2,37,1512326400-37,0,1.8
262,17/12/04 10:55,1512326700,0.2,37,1512326700-37,0,1.8
263,17/12/04 10:55,1512327000,0.8,37,1512327000-37,0,1.8
264,17/12/04 10:55,1512327300,0.6,37,1512327300-37,0,1.8
265,17/12/04 10:55,1512338400,0,37,1512338400-37,0,0
266,17/12/04 10:55,1512252000,0,38,1512252000-38,0,0
